,Thermal Distress,Launch Temperature,Leak-Check Pressure(prediction)
0,0.0,72.0,169.47099864235588
1,0.0,72.0,171.20922450679296
2,0.0,72.0,172.4259826118989
3,0.0,72.0,173.27771328547306
4,0.0,72.0,173.873924756975
5,0.0,72.0,174.29127278702632
6,0.0,72.0,174.58341640806225
7,0.0,72.0,174.58341640806225
8,0.0,72.0,174.58341640806225
9,0.0,72.0,174.58341640806225
10,0.0,72.0,174.58341640806225
11,0.0,72.0,174.58341640806225
12,0.0,72.0,174.58341640806225
13,0.0,72.0,174.58341640806225
14,0.0,72.0,174.58341640806225
15,0.0,72.0,174.58341640806225
16,0.0,72.0,174.58341640806225
17,0.0,72.0,174.58341640806225
18,0.0,72.0,174.58341640806225
19,0.0,72.0,174.58341640806225
20,0.0,72.0,174.58341640806225
21,0.0,72.0,174.58341640806225
22,0.0,72.0,174.58341640806225
23,0.0,72.0,174.58341640806225
24,0.0,72.0,174.58341640806225
25,0.0,72.0,174.58341640806225
26,0.0,72.0,174.58341640806225
27,0.0,72.0,174.58341640806225
28,0.0,72.0,174.58341640806225
29,0.0,72.0,174.58341640806225
30,0.0,72.0,174.58341640806225
31,0.0,72.0,174.58341640806225
32,0.0,72.0,174.58341640806225
33,0.0,72.0,174.58341640806225
34,0.0,72.0,174.58341640806225
35,0.0,72.0,174.58341640806225
36,0.0,72.0,174.58341640806225
37,0.0,72.0,174.58341640806225
38,0.0,72.0,174.58341640806225
39,0.0,72.0,174.58341640806225
40,0.0,72.0,174.58341640806225
41,0.0,72.0,174.58341640806225
42,0.0,72.0,174.58341640806225
43,0.0,72.0,174.58341640806225
44,0.0,72.0,174.58341640806225
45,0.0,72.0,174.58341640806225
46,0.0,72.0,174.58341640806225
47,0.0,72.0,174.58341640806225
48,0.0,72.0,174.58341640806225
49,0.0,72.0,174.58341640806225
50,0.0,72.0,174.58341640806225
51,0.0,72.0,174.58341640806225
52,0.0,72.0,174.58341640806225
53,0.0,72.0,174.58341640806225
54,0.0,72.0,174.58341640806225
55,0.0,72.0,174.58341640806225
56,0.0,72.0,174.58341640806225
57,0.0,72.0,174.58341640806225
58,0.0,72.0,174.58341640806225
59,0.0,72.0,174.58341640806225
60,0.0,72.0,174.58341640806225
61,0.0,72.0,174.58341640806225
62,0.0,72.0,174.58341640806225
63,0.0,72.0,174.58341640806225
64,0.0,72.0,174.58341640806225
65,0.0,72.0,174.58341640806225
66,0.0,72.0,174.58341640806225
67,0.0,72.0,174.58341640806225
68,0.0,72.0,174.58341640806225
69,0.0,72.0,174.58341640806225
70,0.0,72.0,174.58341640806225
71,0.0,72.0,174.58341640806225
72,0.0,72.0,174.58341640806225
73,0.0,72.0,174.58341640806225
74,0.0,72.0,174.58341640806225
75,0.0,72.0,174.58341640806225
76,0.0,72.0,174.58341640806225
77,0.0,72.0,174.58341640806225
78,0.0,72.0,174.58341640806225
79,0.0,72.0,174.58341640806225
80,0.0,72.0,174.58341640806225
81,0.0,72.0,174.58341640806225
82,0.0,72.0,174.58341640806225
83,0.0,72.0,174.58341640806225
84,0.0,72.0,174.58341640806225
85,0.0,72.0,174.58341640806225
86,0.0,72.0,174.58341640806225
87,0.0,72.0,174.58341640806225
88,0.0,72.0,174.58341640806225
89,0.0,72.0,174.58341640806225
90,0.0,72.0,174.58341640806225
91,0.0,72.0,174.58341640806225
92,0.0,72.0,174.58341640806225
93,0.0,72.0,174.58341640806225
94,0.0,72.0,174.58341640806225
95,0.0,72.0,174.58341640806225
96,0.0,72.0,174.58341640806225
97,0.0,72.0,174.58341640806225
98,0.0,72.0,174.58341640806225
99,0.0,72.0,174.58341640806225
100,0.0,72.0,174.58341640806225
101,0.0,72.0,174.58341640806225
102,0.0,72.0,174.58341640806225
103,0.0,72.0,174.58341640806225
104,0.0,72.0,174.58341640806225
105,0.0,72.0,174.58341640806225
106,0.0,72.0,174.58341640806225
107,0.0,72.0,174.58341640806225
108,0.0,72.0,174.58341640806225
109,0.0,72.0,174.58341640806225
110,0.0,72.0,174.58341640806225
111,0.0,72.0,174.58341640806225
112,0.0,72.0,174.58341640806225
113,0.0,72.0,174.58341640806225
114,0.0,72.0,174.58341640806225
115,0.0,72.0,174.58341640806225
116,0.0,72.0,174.58341640806225
117,0.0,72.0,174.58341640806225
118,0.0,72.0,174.58341640806225
119,0.0,72.0,174.58341640806225
120,0.0,72.0,174.58341640806225
121,0.0,72.0,174.58341640806225
122,0.0,72.0,174.58341640806225
123,0.0,72.0,174.58341640806225
124,0.0,72.0,174.58341640806225
125,0.0,72.0,174.58341640806225
126,0.0,72.0,174.58341640806225
127,0.0,72.0,174.58341640806225
128,0.0,72.0,174.58341640806225
129,0.0,72.0,174.58341640806225
130,0.0,72.0,174.58341640806225
131,0.0,72.0,174.58341640806225
132,0.0,72.0,174.58341640806225
133,0.0,72.0,174.58341640806225
134,0.0,72.0,174.58341640806225
135,0.0,72.0,174.58341640806225
136,0.0,72.0,174.58341640806225
137,0.0,72.0,174.58341640806225
138,0.0,72.0,174.58341640806225
139,0.0,72.0,174.58341640806225
140,0.0,72.0,174.58341640806225
141,0.0,72.0,174.58341640806225
142,0.0,72.0,174.58341640806225
143,0.0,72.0,174.58341640806225
144,0.0,72.0,174.58341640806225
145,0.0,72.0,174.58341640806225
146,0.0,72.0,174.58341640806225
147,0.0,72.0,174.58341640806225
148,0.0,72.0,174.58341640806225
149,0.0,72.0,174.58341640806225
150,0.0,72.0,174.58341640806225
151,0.0,72.0,174.58341640806225
152,0.0,72.0,174.58341640806225
153,0.0,72.0,174.58341640806225
154,0.0,72.0,174.58341640806225
155,0.0,72.0,174.58341640806225
156,0.0,72.0,174.58341640806225
157,0.0,72.0,174.58341640806225
158,0.0,72.0,174.58341640806225
159,0.0,72.0,174.58341640806225
160,0.0,72.0,174.58341640806225
161,0.0,72.0,174.58341640806225
162,0.0,72.0,174.58341640806225
163,0.0,72.0,174.58341640806225
164,0.0,72.0,174.58341640806225
165,0.0,72.0,174.58341640806225
166,0.0,72.0,174.58341640806225
