,0
0,0.0059764299274113674
1,0.0059764299274113674
2,0.0059764299274113674
3,0.003929967533113739
4,0.0013730498657239369
5,0.00036520553684300664
6,4.293352855764623e-05
7,5.002801552337592e-06
8,5.002801552337592e-06
9,5.002801552337592e-06
10,5.002801552337592e-06
11,1.745482221200105e-06
12,1.745482221200105e-06
13,1.745482221200105e-06
14,1.745482221200105e-06
15,1.745482221200105e-06
16,1.745482221200105e-06
17,1.745482221200105e-06
18,1.745482221200105e-06
19,3.617305904834709e-07
20,2.716913821114497e-09
21,2.716913821114497e-09
22,2.716913821114497e-09
23,2.716913821114497e-09
24,2.716913821114497e-09
25,2.716913821114497e-09
26,2.716913821114497e-09
27,2.716913821114497e-09
28,2.716913821114497e-09
29,2.716913821114497e-09
30,2.716913821114497e-09
31,2.716913821114497e-09
32,2.716913821114497e-09
33,2.716913821114497e-09
34,2.716913821114497e-09
35,2.716913821114497e-09
36,5.841851226082717e-10
37,4.668384797887892e-10
38,4.668384797887892e-10
39,4.668384797887892e-10
40,4.668384797887892e-10
41,7.940828769403829e-11
42,7.940828769403829e-11
43,7.940828769403829e-11
44,7.940828769403829e-11
45,7.940828769403829e-11
46,7.940828769403829e-11
47,4.029274008754413e-11
48,4.029274008754413e-11
49,4.029274008754413e-11
50,4.029274008754413e-11
51,4.029274008754413e-11
52,4.029274008754413e-11
53,4.029274008754413e-11
54,4.029274008754413e-11
55,4.029274008754413e-11
56,4.029274008754413e-11
57,4.029274008754413e-11
58,4.029274008754413e-11
59,4.029274008754413e-11
60,4.029274008754413e-11
61,4.029274008754413e-11
62,4.029274008754413e-11
63,4.029274008754413e-11
64,4.029274008754413e-11
65,4.029274008754413e-11
66,4.029274008754413e-11
67,4.029274008754413e-11
68,4.029274008754413e-11
69,4.029274008754413e-11
70,4.029274008754413e-11
71,4.029274008754413e-11
72,4.029274008754413e-11
73,4.029274008754413e-11
74,4.029274008754413e-11
75,4.029274008754413e-11
76,4.029274008754413e-11
77,4.029274008754413e-11
78,4.029274008754413e-11
79,4.029274008754413e-11
80,4.029274008754413e-11
81,4.029274008754413e-11
82,4.029274008754413e-11
83,4.029274008754413e-11
84,4.029274008754413e-11
85,4.029274008754413e-11
86,4.029274008754413e-11
87,4.029274008754413e-11
88,4.029274008754413e-11
89,4.029274008754413e-11
90,4.029274008754413e-11
91,4.029274008754413e-11
92,4.029274008754413e-11
93,4.029274008754413e-11
94,4.029274008754413e-11
95,4.029274008754413e-11
96,4.029274008754413e-11
97,4.029274008754413e-11
98,4.029274008754413e-11
99,4.029274008754413e-11
100,4.029274008754413e-11
101,4.029274008754413e-11
102,4.029274008754413e-11
103,4.029274008754413e-11
104,4.029274008754413e-11
105,4.029274008754413e-11
106,4.029274008754413e-11
107,4.029274008754413e-11
108,4.029274008754413e-11
109,4.029274008754413e-11
