,0
0,5.187094233521927e-11
1,3.291666510590874e-11
2,7.301568950013326e-13
3,1.0862946511813743e-11
4,3.875792023122493e-11
5,5.728006347771597e-11
6,9.683547213150055
7,8.381903057047558e-13
8,0.03038642227686466
9,0.9008174109483345
10,1.2069940776848754e-12
11,157.1646249642564
12,2.384185878723245e-13
13,3.725290305400808e-13
14,1.8977790021103662
15,9.689480057806232e-12
16,1.3861805194650967e-11
17,1.8030404849156412e-12
18,3.352761274860727e-12
19,1.3411045307609727e-13
20,8.289637363559093
21,1.2069940776848754e-12
22,7.882714302187566e-12
23,0.9195967148217976
24,2.151727669852388e-11
25,1.341104509944291e-11
26,7.882714222390286e-12
27,6.571412055011994e-12
28,8.944422048767776e-12
29,9.000615977336194
30,4.673004128008529e-11
31,1.4901161221603232e-12
32,1.4901161221603232e-12
33,9.536742959781465e-13
34,3.725290305400808e-11
35,9.536742959781465e-13
36,0.0674412749219577
37,1.2069940776848754e-12
38,1.0862946511813743e-11
39,1.8030404849156412e-12
40,3.046128079617616
41,6.262212982041659e-12
42,1.1682510320021322e-11
43,1.2531876647736695e-11
44,1.3861805194650967e-11
45,1.2967735583804818e-11
46,1.1269003126132548e-11
47,5.960464349863415e-14
48,1.6428530137529984e-12
49,7.301568950013326e-13
50,5.099922357490461e-12
51,4.015845250838411
52,1.4320015869428993e-11
53,3.875792023122493e-11
54,1.0779293500560403
55,5.960464488641293e-12
56,7.882714222390286e-12
57,1.4901161221603232e-12
58,4.306435581247214e-12
59,9.313225329821156e-14
60,3.725289784983783e-15
61,2.9206276285775877e-12
62,1.3411045307609727e-13
63,9.313225676765846e-12
64,1.0464340477064904e-11
65,2.851358952779186
66,1.0073184841474791e-11
67,5.379319240550462e-12
68,3.580003967357248e-12
69,8.381903057047558e-13
70,1.4320015869428993e-11
71,7.468953383897086
72,6.571412055011994e-12
73,7.301568950013326e-13
74,9.313225329821156e-14
75,0.5637426899833927
76,1.4901161221603232e-12
77,0.2749083338979727
78,1.0766088953118036e-12
79,9.860947348272857
80,1.5258789179739552e-11
81,3.352761222819023e-12
82,0.0
83,5.960464349863415e-14
84,1.3411045307609727e-13
85,5.012750618849093e-11
86,7.2121620159903974e-12
87,1.1269003126132548e-11
88,1.0073184931680412e-11
89,3.725290305400808e-13
90,1.0862946511813743e-11
91,6.262212982041659e-12
92,5.364418039777163e-11
93,4.056841148306067e-12
94,1.8030404849156412e-12
95,1.0862946511813743e-11
96,1.8253922375033316e-13
97,0.5449890912670107
98,4.507601212289103e-13
99,5.099922357490461e-12
100,1.8253922375033316e-13
101,0.45631492773032295
102,9.313225329821156e-14
103,1.3411045307609727e-13
104,1.5914039629036212
105,1.3448298101376155e-12
106,2.9206275800053305e-12
107,4.507601212289103e-13
108,2.3283064191914616e-12
109,15.210800767375083
110,6.295740638678771e-13
111,9.689480057806232e-12
112,6.571412055011994e-12
113,2.5182962103686978e-12
114,9.536742959781465e-13
115,1.9706785755468914e-12
116,5.364417914877074e-13
117,1.6525899670258368
118,1.1682510320021322e-11
119,0.0
120,1.3411045307609727e-13
121,1.6428530137529984e-12
122,2.384185739945366e-13
123,3.291666510590874e-11
124,1.341104509944291e-11
125,6.571412055011994e-12
126,1.4901161221603232e-12
127,1.4320015869428993e-11
128,9.313225329821156e-14
129,1.8238337644415639
130,9.689480057806232e-12
131,1.3411045307609727e-13
132,1.4901161221603232e-12
133,2.8565237535096486
134,2.151727669852388e-11
135,3.352761274860727e-12
136,5.364418039777163e-11
137,3.8146972394237365e-12
138,3.0174851942121885e-13
139,1.341104509944291e-11
140,0.5071211463321593
141,1.5444075377846762
142,2.715736581115902e-12
143,1.1682510320021322e-11
144,1.8253922375033316e-13
145,5.960464488641293e-12
146,1.622736459322427e-11
147,3.8146972394237365e-12
148,5.379319240550462e-12
149,3.352761326902432e-14
150,5.728006347771597e-11
151,5.5447220778603867e-11
152,2.884864806396159e-11
153,1.3448298101376155e-12
154,1.0073184841474791e-11
155,4.056841148306067e-12
156,0.21126198568168192
157,1.1269003126132548e-11
158,1.7916142748013413
159,4.306435581247214e-12
160,1.8253922375033315e-11
161,9.313225676765846e-12
162,2.2594776109696357
163,8.944422048767776e-12
164,6.571412055011994e-12
165,5.364418123043891e-13
166,4.827976185839411e-12
167,0.1674225722993862
168,2.1457672075841925e-12
169,1.2531876647736695e-11
170,4.563480593758329e-12
171,1.8253922375033315e-11
172,1.0073184841474791e-11
173,2.1457672075841925e-12
174,6.295740638678771e-13
175,2.384185739945366e-13
176,3.725290131928462e-13
177,0.9701391510690685
178,6.571412055011994e-12
179,1.2967735583804818e-11
180,4.1857361908259615e-11
181,5.075732329209504
182,6.262212982041659e-12
183,4.507601212289103e-13
184,2.250342054014788
185,41.50049953608788
186,5.364418123043891e-13
187,9.689480057806232e-12
188,2.715736581115902e-12
189,9.536742959781465e-13
190,7.2121620159903974e-12
191,2.755224712858162e-11
192,4.507601212289103e-13
193,1.2103468093480063e-11
194,3.369100132808412
195,8.381903057047558e-13
196,9.31322576350202e-12
197,3.580003967357248e-12
198,5.6661665748108934e-12
199,1.6428530137529984e-12
200,3.725289784983783e-15
201,9.31322576350202e-12
202,1.0862946511813743e-11
203,1.2839360257989327
204,12.446292186498958
205,6.295740638678771e-13
206,2.1457672075841925e-12
207,9.313225329821156e-14
208,5.960464349863415e-14
209,0.3009473344159875
210,7.882714302187566e-12
211,1.4320015869428993e-11
212,1.0862946511813743e-11
213,1.3411045307609727e-13
214,1.3861805194650967e-11
215,5.960464349863415e-14
216,18.48288878201623
217,3.153085688956114e-11
218,0.38177026986733165
219,1.4901161221603232e-12
220,3.0174851942121885e-13
221,3.0285439895869497
222,1.7225742324988857e-11
223,7.2121620159903974e-12
224,0.7546527544901473
225,0.7228100674396436
226,1.0766088953118036e-12
227,3.580003967357248e-12
228,6.295740638678771e-13
229,1.2069940776848754e-12
230,3.153085688956114e-11
231,0.9803482408143616
232,3.8146972394237365e-12
233,7.301568950013326e-13
234,2.884864806396159e-11
235,7.882714222390286e-12
236,2.0399689686700917e-11
237,5.364418039777163e-11
238,0.296675563039903
239,2.1457672075841925e-12
240,18.67156108492054
241,7.2121620159903974e-12
242,2.9206276285775877e-12
243,3.433227532134708e-11
244,0.4989076974830528
245,3.433227532134708e-11
246,1.1682510320021322e-11
247,1.9706785755468914e-12
248,2.3283064191914616e-12
249,1.3411045307609727e-13
250,4.8413872769437205e-11
251,3.725290131928462e-13
252,1.0862946511813743e-11
253,5.815373756604723
254,9.536742959781465e-13
255,1.341104509944291e-11
256,1.2967735583804818e-11
257,1.2531876647736695e-11
258,1.4320015869428993e-11
259,1.8253922375033316e-13
260,2.6285648511481518e-11
261,4.306435581247214e-12
262,4.563480593758329e-12
263,1.5950139039166173
264,0.02761361944450695
265,5.5447220778603867e-11
266,1.1682510320021322e-11
267,2.5182962103686978e-12
268,8.58306883033677e-12
269,9.536742959781465e-13
270,1.2103468093480063e-11
271,8.229166194945182e-12
272,7.21661523159861
273,9.536742959781465e-13
274,3.8146972394237365e-12
275,4.5076012504530193e-11
276,2.715736581115902e-12
277,0.8142694050375536
278,2.9206276285775877e-12
279,2.884864806396159e-11
280,0.6934388137651222
281,5.960465043752819e-14
282,1.8253922375033316e-13
283,0.25337582182650753
284,1.3448298101376155e-12
285,2.3283064191914616e-12
286,7.301568950013326e-13
287,7.104792311433684
288,1.9822677236083543
289,1.3861805194650967e-11
290,5.5447220778603867e-11
291,2.9206276285775877e-12
292,9.536742959781465e-13
293,4.056841148306067e-12
294,3.8146972394237365e-12
295,3.352761326902432e-14
296,6.142605244689051
297,1.0464340477064904e-11
298,1.341104509944291e-11
299,1.622736459322427e-11
300,2.1457672075841925e-12
301,3.580003967357248e-12
302,3.352761274860727e-12
303,4.563480593758329e-12
304,1.9706785755468914e-12
305,4.306435581247214e-12
306,5.099922357490461e-12
307,1.0073184841474791e-11
308,7.2121620159903974e-12
309,6.888061782145405e-12
310,7.2121620159903974e-12
311,4.306435581247214e-12
312,1.3448298101376155e-12
313,1.3411045307609727e-13
314,3.1329691619341738e-12
315,3.352761274860727e-12
316,2.9206276285775877e-12
317,1.5258789179739552e-11
318,1.622736447873252e-11
319,1.8030404849156412e-12
320,2.5182962103686978e-12
321,3.725289784983783e-15
322,5.187094233521927e-11
323,3.352761326902432e-14
324,2.954809917946801
325,4.029274008754413e-11
326,9.536742959781465e-13
327,2.5182962103686978e-12
328,0.21251773609651708
329,5.728006347771597e-11
330,6.571412055011994e-12
331,4.306435581247214e-12
332,4.827976185839411e-12
333,25.49414833401819
334,0.7476112208951758
335,1.1682510320021322e-11
336,1.3861805194650967e-11
337,1.3861805194650967e-11
338,1.1682510320021322e-11
339,4.306435581247214e-12
340,4.306435581247214e-12
341,1.0464340477064904e-11
342,3.7614007705881094
343,5.247310460696648
344,103.96925700038915
345,28.868469184678194
346,8.944422048767776e-12
347,3.433227532134708e-11
348,7.301568950013326e-13
349,8.944422048767776e-12
350,2.5182962554715083e-12
351,4.827976185839411e-12
352,9.313225329821156e-14
353,6.571412055011994e-12
354,1.0073184931680412e-11
355,9.536742959781465e-13
356,3.352761222819023e-12
357,1.341104509944291e-11
358,2.384185739945366e-13
359,3.8146972394237365e-12
360,3.163800440037021
361,9.31322576350202e-12
362,0.0
363,6.571412055011994e-12
364,4.306435581247214e-12
365,6.888061782145405e-12
366,5.099922357490461e-12
367,5.187094233521927e-11
368,2.1457672492175563e-12
369,8.944422048767776e-12
370,3.725289784983783e-15
371,1.2103468093480063e-11
372,4.827976185839411e-12
373,0.055368525749451385
374,3.433227532134708e-11
375,2.0399689686700917e-11
376,20.979364357652017
377,3.725289784983783e-15
378,1.5206734337235945
379,0.17723801929964872
380,2.755224712858162e-11
381,1.0464340477064904e-11
382,2.9206276285775877e-12
383,3.725290305400808e-13
384,9.313225329821156e-14
385,9.70653344847108
386,4.575808763487385
387,6.888061782145405e-12
388,5.960464349863415e-14
389,1.1682510320021322e-11
390,0.10970173632874107
391,9.313225329821156e-14
392,1.6428530137529984e-12
393,3.580003967357248e-12
394,5.379319240550462e-12
395,6.888061782145405e-12
396,1.490115913993513e-14
397,5.960464488641293e-12
398,1.1269003126132548e-11
399,5.099922357490461e-12
400,5.6661665748108934e-12
401,1.4901161221603232e-12
402,3.725289784983783e-15
403,4.8413872769437205e-11
404,1.341104509944291e-11
405,6.888061782145405e-12
406,1.4320015869428993e-11
407,8.229166194945182e-12
408,3.352761274860727e-12
409,5.960464349863415e-14
410,1.4320015869428993e-11
411,2.7469003879154927
412,2.5182962103686978e-12
413,5.5447220778603867e-11
414,3.580003967357248e-12
415,5.960464488641293e-12
416,1.3448298101376155e-12
417,1.0862946511813743e-11
418,3.8146972394237365e-12
419,1.9311904743357644e-11
420,1.2069940776848754e-12
421,9.536742959781465e-13
422,3.580003967357248e-12
423,6.262212982041659e-12
424,1.0766088953118036e-12
425,2.1457672075841925e-12
426,1.2531876647736695e-11
427,4.827976185839411e-12
428,8.583068913603498e-12
429,1.2967735583804818e-11
430,1.2069940776848754e-12
431,0.3045272131500272
432,0.4205677660122676
433,9.689480057806232e-12
434,11.236494863236377
435,8.944422048767776e-12
436,5.662650579431681
437,4.8413872769437205e-11
438,4.827976185839411e-12
439,1.2069940776848754e-12
440,2.1457672492175563e-12
441,7.2121620159903974e-12
442,3.2116052590658843
443,4.507601212289103e-13
444,1.1682510320021322e-11
445,9.31322576350202e-12
446,0.9151101376050873
447,6.571412055011994e-12
448,5.960464488641293e-12
449,2.755224712858162e-11
450,3.7677146249596207
451,3.9060615182196776
452,1.1682510320021322e-11
453,7.882714222390286e-12
454,1.8253922375033315e-11
455,2.384185795456517e-11
456,0.22528801044597466
457,2.9206275800053305e-12
458,1.1682510320021322e-11
459,3.875792023122493e-11
460,2.884864806396159e-11
461,8.381903057047558e-13
462,1.341104509944291e-11
463,1.1269003126132548e-11
464,8.229166194945182e-12
465,2.5048851928166637e-11
466,1.3448298101376155e-12
467,1.622736459322427e-11
468,8.229166194945182e-12
469,3.725289784983783e-15
470,6.888061782145405e-12
471,1.7386708060956484
472,5.41925947165528
473,1.630744276647108
474,0.02450214687360937
475,1.9311904868257736e-11
476,8.944422048767776e-12
477,4.952031478055192
478,0.13827603571453131
479,0.4538556700290595
480,2.5048851928166637e-11
481,8.583068913603498e-12
482,9.313225329821156e-14
483,2.5182962554715083e-12
484,1.4901161221603232e-12
485,8.381903057047558e-13
486,8.381903057047558e-13
487,4.563480593758329e-12
488,3.433227532134708e-11
489,7.543712829405358e-12
490,8.944422048767776e-12
491,1.3861805194650967e-11
492,1.3861805194650967e-11
493,1.3861805194650967e-11
494,3.725289784983783e-15
495,5.379319240550462e-12
496,2.1457672075841925e-12
497,2.3283064191914616e-12
498,1.3411045307609727e-13
499,7.882714222390286e-12
500,7.301568950013326e-13
501,1.1269003126132548e-11
502,1.1269003126132548e-11
503,3.0174851942121885e-13
504,6.571412055011994e-12
505,15.688158468791867
506,9.536742959781465e-13
507,4.1857361908259615e-11
508,9.313225676765846e-12
509,5.960465043752819e-14
510,1.989012680406004
511,3.0174851942121885e-13
512,2.727769576245919
513,1.872818310393379
514,1.3411045307609727e-13
515,7.882714302187566e-12
516,1.341104509944291e-11
517,0.12943956140334387
518,3.580003967357248e-12
519,2.1457672075841925e-12
520,2.151727669852388e-11
521,1.0862946511813743e-11
522,9.313225329821156e-14
523,1.3411045307609727e-13
524,4.507601212289103e-13
525,3.0174851942121885e-13
526,5.960464488641293e-12
527,4.306435581247214e-12
528,1.0073184931680412e-11
529,5.960464488641293e-12
530,7.882714222390286e-12
531,1.0862946511813743e-11
532,2.1457672492175563e-12
533,0.4008863731767215
534,2.9206276285775877e-12
535,153.11004855398286
536,4.306435581247214e-12
537,5.960464488641293e-12
538,7.898563744400778
539,2.151727669852388e-11
540,0.11357303152992046
541,0.81666698286535
542,7.882714302187566e-12
543,1.0766088953118036e-12
544,1.1269003126132548e-11
545,1.341104509944291e-11
546,2.988550394954744
547,5.379319240550462e-12
548,1.490115913993513e-14
549,3.0174851942121885e-13
550,4.563480593758329e-12
551,16.76956787182517
552,5.960464488641293e-12
553,1.0766088953118036e-12
554,6.571412055011994e-12
555,1.490115913993513e-14
556,1.2103468093480063e-11
557,3.352761274860727e-12
558,0.36013682940537883
559,2.1457672075841925e-12
560,1.4901161221603232e-12
561,5.379319240550462e-12
562,2.505033418257322
563,1.3411045307609727e-13
564,4.056841148306067e-12
565,4.8413872769437205e-11
566,1.4901161221603232e-12
567,0.018953881280480814
568,90.35670241832848
569,1.622736459322427e-11
570,1.9706785755468914e-12
571,3.352761274860727e-12
572,7.2121620159903974e-12
573,4.072592512726764
574,8.381903057047558e-13
575,1.0148095553959555
576,1.0073184931680412e-11
577,8.381903057047558e-13
578,5.960464488641293e-12
579,0.24036588900095526
580,4.306435581247214e-12
581,1.0862946511813743e-11
582,1.0464340477064904e-11
583,5.379319240550462e-12
584,9.536742959781465e-13
585,1.0766088953118036e-12
586,1.9706785755468914e-12
587,23.332026161851232
588,2.5048851928166637e-11
589,1.3861805194650967e-11
590,3.725289784983783e-15
591,0.00470413129097164
592,2.7138528366459913
593,4.507601212289103e-13
594,2.4028182600509798
595,0.02279993092073459
596,8.229166194945182e-12
597,1.2531876647736695e-11
